patricID	ri_t12_A	ri_t12_B	ri_t12_C	ri_t48_A	ri_t48_B	ri_t48_C	btri_t12_riA	btri_t12_riB	btri_t12_riC	btri_t24_riA	btri_t24_riB	btri_t24_riC	btri_t36_riA	btri_t36_riB	btri_t36_riC
fig|536231.75.peg.1190	9	13	2	0	0	0	0	0	0	0	0	0	0	0	0
fig|536231.75.peg.1191	14	20	12	5	0	25	0	0	0	0	0	0	0	20	11
fig|536231.75.peg.1192	1620	2363	846	288	414	676	74	101	83	124	55	40	175	82	45
fig|536231.75.peg.1193	3885	4048	2252	2539	2260	3098	160	121	188	560	213	168	1069	372	215
fig|536231.75.peg.1194	1925	2111.046	1261	379	557	753	68	19	52	15	96	44	241	117	17
fig|536231.75.peg.1195	549	811	680	1016	1137	1578	109	81	94	69	32	6	567	59	145
fig|536231.75.peg.1196	5294	5967	2107	593	564	1181	332	129	181	100	43	28	407	142	124
fig|536231.75.peg.1197	2831	3857	1745	549	597	1136	213	123	150	58	34	25	322	131	0
fig|536231.75.peg.1198	387	480	202	322	103	199	37	24	33	36	0	43	36	18	1
fig|536231.75.peg.1199	654	818	597	346	288	636	53	47	73	34	0	37	36	26	40
fig|536231.75.peg.1200	50	27	34	28	39	87	4	8	9	11	13	0	0	0	9
fig|536231.75.peg.1201	38	37	40	27	46	88	0	0	4	7	1	16	5	0	15
fig|536231.75.peg.1202	188	250	169	104	152	170	18	9	16	30	26	22	87	77	13
fig|536231.75.peg.1203	4704	4092	4886	6744	5829	8981	607	501	564	970	791	570	1062	708	793
fig|536231.75.peg.1204	5098	3497	4279	7642	7023	9535	876	788	915	1302	730	801	1339	614	673
fig|536231.75.peg.1205	4251	2932.115	2942	3390	3411	5875	492	334	365	268	363	244	393	224	201
fig|536231.75.peg.1206	1057	1092	1771	408	393	699	85	74	57	86	21	37	122	25	41
fig|536231.75.peg.1207	2490	2341	2260	2601	2901	5357	350	307	283	198	241	111	287	272	163
fig|536231.75.peg.1208	382.351	226.037	440.572	1264.47	1075.181	1995.865	70.348	37.926	59.604	39	19	70	20	3.503	18
fig|536231.75.peg.1209	997.649	750.963	1780.428	2870.53	2200.819	4354.135	260.652	186.074	189.396	238	119	142	156	85.497	97
